Paper Id,Image ID,Paper Title,Key Words,Abstract,Conclusion,Paper Type,Summarization,Topic
164,,"Emotion in user interface, voice interaction system","User interfaces
,
Humans
,
Facial animation
,
Databases
,
Speech analysis
,
Emotion recognition
,
Face
,
Engines
,
Production systems
,
Acoustical engineering","An approach towards a personalized voice-emotion user interface regardless of the speaker's age, sex or language is presented. An extensive set of carefully chosen utterances provided a speech database for investing acoustic similarities among eight emotional states: (unemotional) neutral, anger, sadness, happiness, disgust, surprised, stressed/troubled and scared. Based on those results, a voice interaction system (VIS) capable of sensing the user's emotional message was developed. In efforts to detect emotions, several primary parameters from human speech were analyzed: pitch, formants, tempo (rhythm) and power of human voice. First the individual basic speaker's voice characteristics were extracted (pitch or/and formants in neutral speech, normal speech rate, neutral speech power) and based on those parameters the emotional message of the subject's utterance was successfully extracted. The VIS interacts with the user while changing its response according to the user's utterances.","In conclusion, the paper presents an approach to create a personalized voice-emotion user interface that can detect emotions in the user's speech, regardless of their age, sex, or language. The approach used an extensive set of carefully chosen utterances to create a speech database for analyzing acoustic similarities among eight emotional states. Based on the results, a voice interaction system was developed that analyzes primary parameters of human speech to detect emotions in the user's speech. The system interacts with the user, changing its response based on the user's utterances. The proposed approach successfully extracts emotional messages from the subject's utterances by analyzing the basic speaker's voice characteristics, such as pitch, formants, tempo, and power in neutral speech. Overall, the approach presents a promising method for creating a personalized and intuitive voice-emotion user interface.",Natural Language Processing,"The paper proposes a method for creating a personalized voice-emotion user interface that can detect emotions in the user's speech regardless of age, sex, or language. The approach involves creating a speech database for analyzing acoustic similarities among eight emotional states and developing a voice interaction system that analyzes primary parameters of human speech, including pitch, formants, tempo, and power, to detect emotions in the user's speech. The system interacts with the user, changing its response based on the user's utterances. The proposed approach successfully extracts emotional messages from the subject's utterances by analyzing the speaker's voice characteristics in neutral speech, and presents a promising method for creating a personalized and intuitive voice-emotion user interface.",Natural Language Processing
165,,"Categorical emotion recognition
from voice improves during
childhood and adolescence
",,"Converging evidence demonstrates that emotion processing from facial expressions continues to
improve throughout childhood and part of adolescence. Here we investigated whether this is also
the case for emotions conveyed by non-linguistic vocal expressions, another key aspect of social
interactions. We tested 225 children and adolescents (age 5–17) and 30 adults in a forced-choice
labeling task using vocal bursts expressing four basic emotions (anger, fear, happiness and sadness).
Mixed-model logistic regressions revealed a small but highly signifcant change with age, mainly
driven by changes in the ability to identify anger and fear. Adult-level of performance was reached
between 14 and 15 years of age. Also, across ages, female participants obtained better scores than
male participants, with no signifcant interaction between age and sex efects. These results expand
the fndings showing that afective prosody understanding improves during childhood; they document,
for the frst time, continued improvement in vocal afect recognition from early childhood to midadolescence, a pivotal period for social maturation.","The ability to recognize emotions from non-verbal cues such as facial expression, body posture or tone of voice in speech is crucial for successful social interactions and for establishing intimate relationships throughout the lifespan. This ability emerges early on in infancy and continues to refine throughout childhood and adolescence. The ability to identify emotions from non-verbal behavior is related to academic achievement, peer-rated popularity, quality of relationship with adults, and is independent of IQ. Alteration of emotion processing in this age range has also been linked to a variety of developmental disorders such as autism, attention deficit and hyperactivity disorder, social anxiety, psychopathy, or conduct disorder. Most of the existing research has focused on the perception of static facial expressions, but some studies have explored the development of emotion recognition in the auditory modality. Infants can discriminate affect from tone of voice or from composite face-voice stimuli earlier than from faces alone, and studies focusing on childhood have shown that children as young as four years old can label the emotions expressed by unfamiliar adults from their tone of voice. However, it is unclear whether emotional voice processing is adult-like at the end of childhood or whether maturation still occurs during adolescence. More research is needed with adolescents to provide a complete picture of the development of emotion perception in the auditory modality.",Deep Learning and Machine Learning,"The ability to recognize emotions conveyed through non-verbal cues such as facial expressions and tone of voice is crucial for social interactions and relationships. While research has shown that emotion processing from facial expressions improves throughout childhood and adolescence, it is unclear if the same is true for emotions conveyed through vocal expressions. A study tested 225 children and adolescents and 30 adults in a forced-choice labeling task using vocal bursts expressing four basic emotions. Results showed that emotional vocal recognition improves throughout childhood and adolescence, with adult-level performance reached between 14 and 15 years of age. These findings expand on previous research and highlight the importance of continued improvement in emotional recognition skills during this pivotal period for social maturation.



",Deep Learning and Machine Learning
166,,GA-SVM-Based Facial Emotion Recognition Using Facial Geometric Features,"Feature extraction
,
Support vector machines
,
Faces
,
Genetic algorithms
,
Sensors
,
Emotion recognition
,
Optimization","This paper presents a facial emotion recognition technique using two newly defined geometric features, landmark curvature and vectorized landmark. These features are extracted from facial landmarks associated with individual components of facial muscle movements. The presented method combines support vector machine (SVM) based classification with a genetic algorithm (GA) for a multi-attribute optimization problem of feature and parameter selection. Experimental evaluations were conducted on the extended Cohn-Kanade dataset (CK+) and the Multimedia Understanding Group (MUG) dataset. For 8-class CK+, 7-class CK+, and 7-class MUG, the validation accuracy was 93.57, 95.58, and 96.29%; and the test accuracy resulted in 95.85, 97.59, and 96.56%, respectively. Overall precision, recall, and F1-score were about 0.97, 0.95, and 0.96. For further evaluation, the presented technique was compared with a convolutional neural network (CNN), one of the widely adopted methods for facial emotion recognition. The presented method showed slightly higher test accuracy than CNN for 8-class CK+ (95.85% (SVM) vs. 95.43% (CNN)) and 7-class CK+ (97.59 vs. 97.34), while the CNN slightly outperformed on the 7-class MUG dataset (96.56 vs. 99.62). Compared to CNN-based approaches, this method employs less complicated models and thus shows potential for real-time machine vision applications in automated systems.","This thesis paper proposes a facial emotion recognition technique using two newly defined geometric features, landmark curvature, and vectorized landmark, extracted from facial landmarks associated with individual components of facial muscle movements. The presented method combines SVM-based classification with a GA for feature and parameter selection. The experimental evaluations were conducted on the CK+ and MUG datasets, and the results demonstrate high accuracy and precision in recognizing facial emotions. Additionally, this method shows potential for real-time machine vision applications in automated systems, as it employs less complicated models compared to CNN-based approaches. The presented technique provides a promising approach for automatic facial emotion recognition and has potential for use in various fields, including psychology, marketing, and human-computer interaction.",Deep Learning and Machine Learning,"This paper proposes a facial emotion recognition technique that uses two new geometric features extracted from facial landmarks associated with individual components of facial muscle movements. The method combines SVM-based classification with a GA for feature and parameter selection and is evaluated on the CK+ and MUG datasets, demonstrating high accuracy and precision in recognizing facial emotions. The proposed method is compared to a CNN-based approach and shows slightly higher test accuracy for two datasets, making it a promising approach for automatic facial emotion recognition with potential for use in various fields, including psychology, marketing, and human-computer interaction.",Deep Learning and Machine Learning
167,,Cartoon image colorization based on emotion recognition and superpixel color resolution,"Image color analysis
,
Art
,
Emotion recognition
,
Semantics
,
Faces
,
Visualization
,
Rendering (computer graphics)","With the development of artificial intelligence technology, it is possible to automatically colorize the hand drawn sketch by machine. Researchers have conducted in-depth and meticulous study on hand-drawn manuscript recognition, generation, and retrieval. For the emotion-based line art colorization, facial expression should be also extracted from the image itself. To solve the recognition and colorization problem, this paper has proposed an algorithm with the DenseNet network for emotional recognition of anime faces and performed a two-stage interactive coloring method in view of superpixel color analysis features. Among them, the superpixel color analysis technology used a simple linear iterative clustering of SLIC algorithm. According to the experiment, the prompt color information of corresponding position could be generated through the emotion recognition result. After the prediction of superpixel color analysis by GAN (generative adversarial network), the original cartoon image could be rendered with suitable color scheme. The visualization results proved that our algorithm proposed would effectively realize the emotion-based line art colorization of high interactivity and reasonable color distribution.","this paper proposes an algorithm for emotion-based line art colorization using the DenseNet network for emotional recognition of anime faces and a two-stage interactive coloring method based on superpixel color analysis features. The superpixel color analysis technology uses a simple linear iterative clustering of SLIC algorithm to generate prompt color information. The GAN is used to predict the superpixel color analysis, and the original cartoon image is rendered with a suitable color scheme. The results demonstrate that the proposed algorithm effectively realizes emotion-based line art colorization with high interactivity and reasonable color distribution. The research on hand-drawn manuscript recognition, generation, and retrieval, as well as facial emotion recognition, has contributed to the development of AI technology for automatic colorization of hand-drawn sketches.",Deep Learning and Machine Learning,"This paper proposes an algorithm for emotion-based line art colorization using the DenseNet network for emotional recognition of anime faces and a two-stage interactive coloring method based on superpixel color analysis features. The results demonstrate that the proposed algorithm effectively realizes emotion-based line art colorization with high interactivity and reasonable color distribution. The research on hand-drawn manuscript recognition, generation, and retrieval, as well as facial emotion recognition, has contributed to the development of AI technology for automatic colorization of hand-drawn sketches.",Deep Learning and Machine Learning
168,,"Long Document Summarization in a Low Resource Setting
using Pretrained Language Models","abstractive summarization, low-resource, legal briefs, BART, salience detection","Abstractive summarization is the task of compressing a long document into a coherent short
document while retaining salient information.
Modern abstractive summarization methods
are based on deep neural networks which often require large training datasets. Since collecting summarization datasets is an expensive
and time-consuming task, practical industrial
settings are usually low-resource. In this paper, we study a challenging low-resource setting of summarizing long legal briefs with
an average source document length of 4268
words and only 120 available (document, summary) pairs. To account for data scarcity,
we used a modern pretrained abstractive summarizer BART (Lewis et al., 2020), which
only achieves 17.9 ROUGE-L as it struggles
with long documents. We thus attempt to
compress these long documents by identifying salient sentences in the source which best
ground the summary, using a novel algorithm
based on GPT-2 (Radford et al., 2019) language model perplexity scores, that operates
within the low resource regime. On feeding the
compressed documents to BART, we observe a
6.0 ROUGE-L improvement. Our method also
beats several competitive salience detection
baselines. Furthermore, the identified salient
sentences tend to agree with an independent
human labeling by domain experts.","We tackle an important real-world problem of summarizing long domain-specific documents with
very less training data. We propose an extract-thenabstract pipeline which uses GPT-2 perplexity and
a BERT classifier to estimate sentence salience.
This sufficiently compresses a document, allowing
us to use a pretrained model (BART) to generate
coherent & fluent summaries.
",Text summarization,"The paper presents a study on summarizing long legal briefs with only 120 available (document, summary) pairs, which is a low-resource setting. The authors propose a novel algorithm based on GPT-2 language model perplexity scores to identify salient sentences and compress the documents, which results in a 6.0 ROUGE-L improvement when fed to a modern pretrained abstractive summarizer BART. The method outperforms several salience detection baselines and is in agreement with independent human labeling by domain experts. The proposed extract-then-abstract pipeline provides a solution for summarizing domain-specific documents with limited training data.",Natural Language Processing
169,,Research of Image Main Objects Detection Algorithm Based on Deep Learning ,"object detection; convolution neural network; 
scoring system; selective search; deep learning ","Images have many objects in complex background. 
How to identify these objects and identify the main objects 
therein and understand the relationship between the main 
objects and other objects are the focus of this parper. There 
are many ways to object recognition, but most of them cannot 
mark the main objects of the image.In this paper, we use 
improved RCNN [1] network to detect and recognize 
multi-object in the image. Then we put forward the main 
objects scoring system to mark the image main objects. The 
experimental results show that the algorithm not only 
maintains the superiority of RCNN, but also detects the main 
objects of the image.We found that the image main objects 
were related to the size of candidate region and the rarity of 
objects. ","In this paper, we proposed an image main objects 
scoring model. The model can extracte image main objects. 
And we found that there is no relationship between the 
image object extraction and the image detection model, only related to the size of the image candidate region and the 
rareness of the category. We reconstructed the network 
structure of RCNN and trained the ImageNet dataset with 
selective search, svm and bbox regression. Then we put 
forward the scoring system for recognizing image main 
objects. Finally, we use the scoring system to testing 
Flickr8k. 
However, our method still has the following problems. 
Although bregion regression is used to adjust the image's 
candidate region, the size of the candidate region does not 
completely replace the area of the target object. So we need 
to calculate the outline size of the object. We have no 
remedy for inaccurate images and no error alerts. Follow-up 
work will be carried out in accordance with these two 
issues. ",Deep Learning and Machine Learning,"This paper proposes a scoring system for identifying main objects in complex background images using an improved RCNN network. The size of the candidate region and rarity of the object were found to be related to the image's main objects. However, the method still has some problems, such as inaccurate images and no error alerts. The authors suggest calculating the outline size of the object and working on these issues in future research. Keywords: object recognition, image main objects, RCNN network.",Deep Learning and Machine Learning
170,,"AN AUTOMATIC CLASSIFICATION METHOD 
FOR ENVIRONMENT","Garbage segregation, Deep learning ","Recent enforcement of law by the Indian government 
for the welfare of sanitation workers has raised the need for an 
automated system in waste management. The existing garbage 
disposal system in India consists of unclassified waste collected 
from homes which are then segregated at a station manually. 
This segregation of solid waste done by manual labor can bring 
about many health hazards for the waste sorters in addition to 
being less efficient, time consuming and not completely feasible 
due to their large amount. In our paper, we have proposed an 
automated recognition system using Deep learning algorithm in 
Artificial Intelligence to classify objects as biodegradable and 
non-biodegradable, where the system once trained with an initial 
dataset, can identify objects real-time and classify them almost 
accurately. Biodegradable waste is used to generate power, 
enrich soil and act as food to animals. This process does not harm 
the earth making it valuable, ecologically safe and helps us to 
protect our environment, rich ecosystem and human inhabitants 
in future. ","Keeping our environment clean and eco friendly so 
that our next generation lives a disease free life is a priority. 
This project aims to support that thought. The Automatic waste 
management system is a step forward to the existing system to 
make the manual segregation of wastes easier. The developed 
system would pioneer the work for solid waste management 
process in the field of Artificial Intelligence. When properly 
trained, the system is highly efficient. The deep learning 
algorithm used here has better performance with comparatively 
less computation time. The emphasis of waste management 
policies in many countries around the world has transitioned from 
disposal to source segregation and recycling. The development of 
our project into a final product will help these countries in 
achieving their goal. 
This project proposal for the management of wastes is 
efficient and time saving than the currently employed method 
where the municipality employees perform. Though this 
system is simple in concept, it is very valuable and affordable. 
Hence to ensure being automated, a system which takes lots of 
dataset as input without human intervention and also has the 
capacity to think by itself offers the best solution. 
It acts as an aide for reducing pollution levels and in 
the long run focuses on the development of a nation and 
restoration of our ecosystem. We thus conclude that our 
project is an important asset to the society. ",Deep Learning and Machine Learning,"The Indian government's recent focus on the welfare of sanitation workers has led to a need for an automated waste management system. The existing system involves manual segregation of waste, which is inefficient and hazardous to the workers. The proposed solution is an automated recognition system that uses deep learning algorithms to classify objects as biodegradable or non-biodegradable. The system can accurately identify and classify objects in real-time, making the waste management process more efficient and environmentally friendly. The project aims to contribute to global waste management policies by transitioning from disposal to source segregation and recycling. The proposed system is simple, affordable, and valuable, making it an important asset to society.",Deep Learning and Machine Learning
171,,The Object Detection Based on Deep Learning,"object detection; deep learning; framework design; 
model analysis; performance analysis ","The object detection based on deep learning is an 
important application in deep learning technology, which is 
characterized by its strong capability of feature learning and 
feature representation compared with the traditional object 
detection methods. The paper first makes an introduction of the 
classical methods in object detection, and expounds the relation 
and difference between the classical methods and the deep 
learning methods in object detection. Then it introduces the 
emergence of the object detection methods based on deep 
learning and elaborates the most typical methods nowadays in 
the object detection via deep learning. In the statement of the 
methods, the paper focuses on the framework design and the 
working principle of the models and analyzes the model 
performance in the real-time and the accuracy of detection. 
Eventually, it discusses the challenges in the object detection 
based on deep learning and offers some solutions for reference.","This paper firstly introduces the classical methodologies 
of object detection, discusses the relation and differences 
between the classic methodologies and the deep learning 
methodologies in object detection. Then it clarifies the ideas 
of model design and the limitations of deep learning method 
by overviewing the early object detection methods based on 
deep learning. Afterwards, it elaborates on the common object 
detection model based on deep learning, during whose 
process, it makes a detailed interpretation of the framework 
design and operation principle of the model and points out its 
innovation and performance assessment. Finally, this paper 
makes a further analysis of the challenges in object detection 
based on deep learning, and offers some solutions for 
reference. With the innovation of deep learning theories and 
computer hardware upgrading, the performance of object 
detection based on deep learning will be ceaselessly enhanced 
and the applications of it will be widely ranged. Spatially, the 
development and application of current embedded systems in 
deep learning will pave a promising prospect for object 
detection based on deep learning.",Deep Learning and Machine Learning,"This paper discusses the importance of object detection based on deep learning technology, which has stronger capabilities for feature learning and representation than traditional methods. It compares classical methods with deep learning methods in object detection and elaborates on the emergence of object detection methods based on deep learning. The paper then discusses the most typical deep learning methods used in object detection, including their framework design, working principles, and real-time detection accuracy. It concludes with a discussion of the challenges in object detection based on deep learning and offers some solutions for reference. The paper suggests that with the innovation of deep learning theories and computer hardware, object detection based on deep learning will continue to improve and have a wide range of applications, especially in current embedded systems.",Deep Learning and Machine Learning
172,,"Super-High-Purity Seed Sorter Using Low-Latency
Image-Recognition Based on Deep Learning","Agricultural automation, deep learning in
robotics and automation, computer vision for automation.","Most commercial optical sorting systems are designed
to achieve high throughput, so they use a naive low-latency image
processing for object identification. These naive low-latency algorithms have difficulty in accurately identifying objects with various
shapes, textures, sizes, and colors, so the purity of sorted objects
is degraded. Current deep learning technology enables robust image detection and classification, but its inference latency requires
several milliseconds; thus, deep learning cannot be directly applied to such real-time high throughput applications. We therefore
developed a super-high purity seed sorting system that uses a lowlatency image-recognition based on a deep neural network and
removes the seeds of noxious weeds from mixed seed product at
high throughput with accuracy. The proposed system partitions
the detection task into localization and classification, and applies
batch inference only once strategy; it achieved 500-fps throughput
image-recognition including detection and tracking. Based on the
classified and tracked results, air ejectors expel the unwanted seeds.
This proposed system eliminates almost the whole weeds with small
loss of desired seeds,","In this letter, we developed an optical-seed-sorting system
that achieves both high throughput and high purity by exploiting deep learning using an inference only once strategy. The
batch inference only once method allows use of a CNN-based
classifier, which has high accuracy but is not easy to apply in
real-time systems because of its large inference latency. In quantitative evaluations our system achieved higher purity, classification accuracy and detection mAP, and lower loss and latency
than commercial systems and state-of-the-art detectors did. The
experiment results showed that the proposed image-recognition
system can be directly applied to actual optical sorting systems.
This system can be applied to acquire clean seed samples that
are contaminated by noxious weeds.
The proposed system can also be used to sort other objects
where results require high purity. Because this system exploits
characteristics such as shape and texture to classify objects,
it can detect inferior goods among a number of products. This
extensibility to other industries is a useful feature of this system",Deep Learning and Machine Learning,"The letter discusses the limitations of naive low-latency algorithms used in commercial optical sorting systems, which can result in degraded purity of sorted objects due to difficulty in accurately identifying objects with various shapes, textures, sizes, and colors. The authors propose a super-high purity seed sorting system that utilizes deep learning technology for image recognition, but also addresses the inference latency issue by implementing a batch inference only once strategy. The proposed system partitions the detection task into localization and classification and achieves 500-fps throughput image-recognition. The system eliminates almost all weeds with minimal loss of desired seeds, demonstrating higher purity, classification accuracy, and detection mAP than commercial systems and state-of-the-art detectors. The system is applicable to actual optical sorting systems and has potential for use in other industries due to its ability to classify objects based on shape and texture.",Deep Learning and Machine Learning
173,,"Real-time Traffic Analysis Using Deep Learning Techniques 
And UAV Based Video",,"In urban environments there are daily issues of traffic 
congestion which city authorities need to address. Realtime analysis of traffic flow information is crucial for 
efficiently managing urban traffic. This paper aims to 
conduct traffic analysis using UAV-based videos and deep 
learning techniques. The road traffic video is collected by 
using a position-fixed UAV. The most recent deep learning 
methods are applied to identify the moving objects in 
videos. The relevant mobility metrics are calculated to 
conduct traffic analysis and measure the consequences of 
traffic congestion. The proposed approach is validated with 
the manual analysis results and the visualization results. 
The traffic analysis process is real-time in terms of the pretrained model used.","This paper presents a preliminary study on traffic 
surveillance and congestion using UAV based video and 
deep learning techniques. This initial research has raised 
issues surrounding traffic congestion which can be explored 
in future research offering the opportunity for improved 
traffic measurement metrics.
This study has established that complex traffic situations 
can result in inaccurate calculations. In Fig. 6, the traffic 
deadlock happens because a vehicle in the red box blocks 
the road due to its moving direction being orthogonal to the 
road direction. In this case, our approach can detect and 
recognize the vehicles in both the red box and the yellow 
box, however the proposed algorithm is unable to correctly 
count them. It is a challenging issue for future work. In this study, the UAV is fixed to collect the video data 
so its role is similar to a camera. We apply the geometric 
configuration and UAV’s location to estimate the spatial 
length pairing to a pixel in the image. In a future study, we 
will investigate traffic congestion in a large region with a 
mobile UAV. The pixel measurement could be more 
accurately calculated using the orthorectification with an 
appropriate mathematical model and the image 
georeferencing [14]. 
As shown in the paper, we focus on seeing the role of 
motorbike in the formation of traffic congestion in a given 
city of China. In different areas and with different 
geometric information, there will be different issues 
causing traffic congestion. Future studies will expand this 
initial approach to encompass a range of metropolitan areas 
to explore reasons for traffic congestion.
 ",Deep Learning and Machine Learning,"This paper proposes using UAV-based videos and deep learning techniques for real-time traffic analysis in urban environments. The study validates the approach by comparing it to manual analysis and visualizations. The paper acknowledges challenges in accurately calculating metrics in complex traffic situations and suggests future research to explore improved measurement methods and expand the approach to other metropolitan areas. The study focuses on the role of motorbikes in traffic congestion in a specific city in China, but the approach can be applied to different areas with different issues causing traffic congestion.",Deep Learning and Machine Learning
174,,Face analysis and synthesis,"Avatars
,
Mouth
,
Shape control
,
Neural networks
,
Speech
,
Muscles
,
Network synthesis
,
Humans
,
Signal generators
,
Communication system control","The author's goal is to generate a virtual space close to the real communication environment between network users or between humans and machines. There should be an avatar in cyberspace that projects the features of each user with a realistic texture-mapped face to generate facial expression and action controlled by a multimodal input signal. Users can also get a view in cyberspace through the avatar's eyes, so they can communicate with each other by gaze crossing. The face fitting tool from multi-view camera images is introduced to make a realistic three-dimensional (3-D) face model with texture and geometry very close to the original. This fitting tool is a GUI-based system using easy mouse operation to pick up each feature point on a face contour and the face parts, which can enable easy construction of a 3-D personal face model. When an avatar is speaking, the voice signal is essential in determining the mouth shape feature. Therefore, a real-time mouth shape control mechanism is proposed by using a neural network to convert speech parameters to lip shape parameters. This neural network can realize an interpolation between specific mouth shapes given as learning data. The emotional factor can sometimes be captured by speech parameters. This media conversion mechanism is described. For dynamic modeling of facial expression, a muscle structure constraint is introduced for making a facial expression naturally with few parameters. We also tried to obtain muscle parameters automatically from a local motion vector on the face calculated by the optical flow in a video sequence.","In this thesis paper, the author proposes a virtual space that mimics real communication environments between network users or between humans and machines. The author introduces an avatar that projects the features of each user with a realistic texture-mapped face to generate facial expressions and actions controlled by a multimodal input signal. A face fitting tool is introduced to create a realistic 3-D personal face model using easy mouse operation. The author proposes a real-time mouth shape control mechanism using a neural network to convert speech parameters to lip shape parameters. A muscle structure constraint is introduced for making facial expressions naturally with few parameters. The author also attempts to obtain muscle parameters automatically from a local motion vector on the face calculated by the optical flow in a video sequence. Overall, the proposed system aims to provide a more realistic and immersive communication experience in cyberspace.",Artificial Neural Network,"The author proposes a virtual space that mimics real communication environments between network users or between humans and machines, using avatars with realistic texture-mapped faces to generate facial expressions and actions controlled by a multimodal input signal. A face fitting tool is introduced to create a realistic 3-D personal face model, and a real-time mouth shape control mechanism is proposed using a neural network. A muscle structure constraint is introduced for making facial expressions naturally with few parameters, and an attempt is made to obtain muscle parameters automatically from a local motion vector on the face calculated by the optical flow in a video sequence. The goal is to provide a more realistic and immersive communication experience in cyberspace.",Deep Learning and Machine Learning
175,,Automatic facial expression recognition using facial animation parameters and multistream HMMs,"Face recognition
,
Facial animation
,
Hidden Markov models
,
Face detection
,
Financial advantage program
,
Human computer interaction
,
Performance analysis
,
Eyebrows
,
Facial features
,
Speech recognition","The performance of an automatic facial expression recognition system can be significantly improved by modeling the reliability of different streams of facial expression information utilizing multistream hidden Markov models (HMMs). In this paper, we present an automatic multistream HMM facial expression recognition system and analyze its performance. The proposed system utilizes facial animation parameters (FAPs), supported by the MPEG-4 standard, as features for facial expression classification. Specifically, the FAPs describing the movement of the outer-lip contours and eyebrows are used as observations. Experiments are first performed employing single-stream HMMs under several different scenarios, utilizing outer-lip and eyebrow FAPs individually and jointly. A multistream HMM approach is proposed for introducing facial expression and FAP group dependent stream reliability weights. The stream weights are determined based on the facial expression recognition results obtained when FAP streams are utilized individually. The proposed multistream HMM facial expression system, which utilizes stream reliability weights, achieves relative reduction of the facial expression recognition error of 44% compared to the single-stream HMM system.","This thesis paper proposes an automatic multistream hidden Markov model (HMM) facial expression recognition system that utilizes facial animation parameters (FAPs) to improve the performance of the system. The FAPs that describe the movement of the outer-lip contours and eyebrows are used as observations for facial expression classification. The proposed system introduces facial expression and FAP group dependent stream reliability weights to model the reliability of different streams of facial expression information. Experiments show that the multistream HMM approach with stream reliability weights achieves a significant reduction of the facial expression recognition error compared to the single-stream HMM system. This research provides a new method to improve the performance of automatic facial expression recognition systems and has practical applications in various fields, such as human-computer interaction, affective computing, and robotics.",Person recognition,"This thesis proposes an automatic facial expression recognition system that utilizes multistream hidden Markov models (HMMs) to improve performance by modeling the reliability of different streams of facial expression information. The system utilizes facial animation parameters (FAPs) to classify facial expressions and introduces stream reliability weights to model the reliability of different streams of facial expression information. Experiments show that the proposed system achieves a significant reduction of facial expression recognition error compared to the single-stream HMM system, with practical applications in fields such as human-computer interaction, affective computing, and robotics.



",Sentiment Analysis
176,,Emotion Recognition in Cartoons Using Convolutional Neural Networks,"Estimation
,
Computer architecture
,
Covariance matrices
,
Cognitive systems
,
Cognitive science
,
Optimal control
,
Neuroscience","In psychology and neuroscience it is common to describe cognitive systems as input/output devices where perceptual and motor functions are implemented in a purely feedforward, open-loop fashion. On this view, perception and action are often seen as encapsulated modules with limited interaction between them. While embodied and enactive approaches to cognitive science have challenged the idealisation of the brain as an input/output device, we argue that even the more recent attempts to model systems using closed-loop architectures still heavily rely on a strong separation between motor and perceptual functions. Previously, we have suggested that the mainstream notion of modularity strongly resonates with the separation principle of control theory. In this work we present a minimal model of a sensorimotor loop implementing an architecture based on the separation principle. We link this to popular formulations of perception and action in the cognitive sciences, and show its limitations when, for instance, external forces are not modelled by an agent. These forces can be seen as variables that an agent cannot directly control, i.e., a perturbation from the environment or an interference caused by other agents. As an alternative approach inspired by embodied cognitive science, we then propose a nonmodular architecture based on active inference. We demonstrate the robustness of this architecture to unknown external inputs and show that the mechanism with which this is achieved in linear models is equivalent to integral control.","The traditional view of cognitive systems as input/output devices with limited interaction between perception and action has been challenged by embodied and enactive approaches. However, even recent closed-loop models still rely on a strong separation between motor and perceptual functions. This study presents a minimal model of a sensorimotor loop based on the separation principle, and highlights its limitations when faced with external forces or interference. An alternative non-modular architecture based on active inference is proposed, which is shown to be robust to unknown external inputs and equivalent to integral control in linear models.",Deep Learning and Machine Learning,"The study argues that the traditional view of cognitive systems as input/output devices with limited interaction between perception and action is incomplete, even in more recent closed-loop models. The researchers present a minimal model of a sensorimotor loop that emphasizes the limitations of a separation principle-based architecture when faced with external forces or interference. An alternative non-modular architecture based on active inference is proposed, which is shown to be robust to unknown external inputs and equivalent to integral control in linear models.",Deep Learning and Machine Learning
177,,Real-time speech-driven face animation with expressions using neural networks,"Facial animation
,
Neural networks
,
Face
,
Humans
,
Real time systems
,
Audio databases
,
Collaboration
,
Deformable models
,
Motion analysis
,
Linear approximation","A real-time speech-driven synthetic talking face provides an effective multimodal communication interface in distributed collaboration environments. Nonverbal gestures such as facial expressions are important to human communication and should be considered by speech-driven face animation systems. In this paper, we present a framework that systematically addresses facial deformation modeling, automatic facial motion analysis, and real-time speech-driven face animation with expression using neural networks. Based on this framework, we learn a quantitative visual representation of the facial deformations, called the motion units (MUs). A facial deformation can be approximated by a linear combination of the MUs weighted by MU parameters (MUPs). We develop an MU-based facial motion tracking algorithm which is used to collect an audio-visual training database. Then, we construct a real-time audio-to-MUP mapping by training a set of neural networks using the collected audio-visual training database. The quantitative evaluation of the mapping shows the effectiveness of the proposed approach. Using the proposed method, we develop the functionality of real-time speech-driven face animation with expressions for the iFACE system. Experimental results show that the synthetic expressive talking face of the iFACE system is comparable with a real face in terms of the effectiveness of their influences on bimodal human emotion perception.","In summary, this paper presents a framework for real-time speech-driven face animation with expressions using neural networks. The framework includes facial deformation modeling, automatic facial motion analysis, and audio-to-MUP mapping. The study demonstrates the effectiveness of the proposed approach through quantitative evaluations and the development of the iFACE system. The synthetic expressive talking face of the iFACE system is shown to be comparable to a real face in terms of its influence on bimodal human emotion perception, making it an effective multimodal communication interface in distributed collaboration environments.



",Artificial Neural Network,"This paper presents a framework for real-time speech-driven face animation with expressions using neural networks. The framework includes facial deformation modeling, automatic facial motion analysis, and audio-to-MUP mapping. The study demonstrates the effectiveness of the proposed approach through quantitative evaluations and the development of the iFACE system. The synthetic expressive talking face of the iFACE system is shown to be comparable to a real face in terms of its influence on bimodal human emotion perception, making it an effective multimodal communication interface in distributed collaboration environments.



",Deep Learning and Machine Learning
